text,Label
Did we forget what real heroes look like? Where is the face of the girl who didn’t quit and won Gold ,1
She should smoke some weed to calm her mind and be mentality relaxed with all the weight of the world on her shoulders.,1
We are missing a lot about other Olympic athletes/players enough of the Simone stuffs,1
She should have stayed home,1
Just sent her home!! She is scared as hell to compete,1
This is Olympic not Simone game,1
The news is this and now another American athlete that is suing because she wasn't called by her non-binary pronouns by sportscasters. Ridiculous. The US is becoming a laughing stock.,1
quitters lose and losers quit,1
Why is this lady still making headlines?,1
Why even go with the team if shes not playing?,1
"Why she is still there??? Girl, pack up and come back and work on your issues ",1
It is better to send her home smh!,1
"Biles: ""Boo hoo. Poor me. I guess all that partying and less time training wasn't a good idea after all. Better pull out the trending ""mental-health-issue"" excuse. The public always falls for it"".",1
"She's afraid of loosing, let her go home",1
Wah wah pay attention to poor me. Why are we still hearing about this quitter who only showed up for the free vacation and publicity. ,1
LET HER HAVE HER MEDS.,1
Her Sponsors must be paying her by Screen time.....Go Home…,1
Maybe she s scare of drug test ?,1
The biggest scam of the Olympics.,1
Withdraw all events for your own sake,1
She's done. Finished.,1
Can I take her spot? Im very flexible.,1
"Keep on Simon Biles, The Whole world is on your side. May God bless you.",0
You are an intelligent talented woman. Strong 💪🏽 we love you Simone.,0
Simone praying for your wellness a d return.,0
"She is such a courageous and wonderful young woman. She conquered childhood trauma early on, sexual assault, set new milestones for gymnastics, and paid attention to her inner voice.",0
Can someone tell me why it's mostly men who are calling her a coward etc.,1
another athlete who didn't qualify to represent the country because of her,1
At least have the decency to fake a broken leg and don’t screw the team because you’re sad.,1
That’s nice… I’m glad she can realize that she’ s a human being! 😂😂😂😂😂 she should realize she’s a Selfish person as well and that would just be icing in the cake! ,1
"the chicken way out, she took a spot from another athlete",1
Waste of taxpayers money..she could have remained back in the US instead to heading to Tokyo.,1
"Biles is no GOAT, she is a COWard",1
"You let others down, just selfish",1
How about he is an embarrassment for attempting to shame someone who is putting their mental health first! ,1
"I think what she does is incredibly brave. What an athlete, what courage and strength! I can not imagine the pressure and publicity. ",0
Good thing she’s not a mom because you don’t get to quit for a mental health break. ,1
She is a great athlete. She will always stand out. ,0
Simone you are still a champ in my books! The best all around! You are so admired by many!,0
Give this gal some breathing room. She is great if she never enters another competition. ,1
our amazing Simone. Keep reaching for the stars no matter what you do ,0
Her mental health was good enough to go stand on the podium with her team and receive a silver medal after quitting…,1
Who cares she is so over rated!!,1
Hold your heads high! Us team has everything to be proud of!,0
Oh.. there are other young ladies on the team? ,1
She’s not the greatest! She quit! ,1
GOAT quitter,1
Simone is horribly underscored yet unmatched.,1
I am not into this Bullcrap! She is overrated ! Not a thing to her!,1
"Boycotting, will not be cheering any crybaby kneelers…those that kneel should never have been on the Olympics team. ",1
How is that not “quitting”? She didn’t just wake up that day and suddenly had mental issues.,1
She was just embarrassed cause she was fuckinup. I don't believe that mental breakdown. If that's the way she felt then why even bother to compete and why hasn't she gone home to take care of her mental issue.,1
Next excuse will be she was sexually abused and could not concentrate 100%. Tom Brady is the GOAT. He didn’t quit on his teammates. S Biles did quit so there’s no way she’s the GOAT. ,1
Beta Biles! It’s not normal for Americans to quit!,1
Simone no explanation needed take care of yourself ,0
Maybe she just wanna smoke some weed 🤷🏻‍♂️,1
"Someone hand her a dictionary. Yeah, she quit.",1
"Man, how many times is ABC going to post about this? It's over, stop beating a dead horse and cover something more recent",1
She is washed up,1
I still think she got her feelings hurt when the Russian beat her....and she can not stand defeat...just like pro sports players....if their team is losing or they screwup...they play hurt to get out of the game!!,1
What's wrong Lebron? You start losing so you wanna quit?,1
For some reason I don’t understand why she’s giving up? She never gave up those commercial checks? Why now?,1
I sure hope she gives back all of the money her sponsors gave her over the past 4 years !!! QUITTERS ARE WEAK!!!,1
"If you can't ""emotionally"" handle the pressures of competing... don't. But don't expect others to empathize them quitting on a sport THEY chose to do. She stole a spot from a young lady that WANTED to compete. Quitting exists in only a handful of sports and even those feel that quitting is a shameful way to go out. All you praising her are a joke. Does she deserve to get roasted... 100% yes. Accept the consequences for the horrible decisions you make. Oh yeah... we dont have to in this new world.",1
just quit,1
"She is not from spring, she is from sugar land ",1
She a quiter and an embarrassment,1
If she had issues she should have bowed out and let someone else take her place. I hope she didn’t get paid to drop out..,1
